time,data,median,LB,UB
10,12,12,12,12
11,25,10.8601695535233,-0,50.8236762229083
12,23,15.9221426117902,-0,57.3016685837908
13,41,23.8337119814785,-0,66.5952020441533
14,68,35.9477276837887,-0,77.9598962403053
15,75,51.5438004817321,10.4013444023145,93.1118740463673
16,83,70.2254610185598,27.0697527239114,112.182486438488
17,101,93.0836552743982,48.6598918780623,138.504292189539
18,109,122.283426310065,77.492539965402,164.414472130595
19,152,154.933717353524,112.517719851767,200.12277778434
20,174,195.040423051392,152.18915864779,238.286673254145
21,217,238.735923051367,193.961649578229,282.271130972152
22,295,285.034619048766,242.066203359454,329.539657166852
23,360,333.621540865288,288.944873232263,376.009661939547
24,381,380.565323397169,334.902972615159,424.280803298532
25,439,425.43619169382,382.03364448783,472.098260164313
26,476,464.910167807896,421.497046468129,507.618897708222
27,445,495.563885725931,452.023662698194,540.921434603718
28,525,517.498576512048,470.411857009263,564.632073039781
29,538,527.803836650349,477.111384780734,577.410655737764
